"time","HEOG"
1.162,0.0804225
1.164,0.0804225
1.166,0.084252
1.168,0.091911
1.17,0.0880815
1.172,0.0804225
1.174,0.09957
1.176,0.0880815
1.178,0.0727635
1.18,0.084252
1.182,0.0804225
1.184,0.068934
1.186,0.0880815
1.188,0.0804225
1.19,0.0651045
1.192,0.068934
1.194,0.076593
1.196,0.084252
1.198,0.0651045
1.2,0.0727635
1.202,0.0727635
1.204,0.0651045
1.206,0.0727635
1.208,0.084252
1.21,0.0651045
1.212,0.0727635
1.214,0.076593
1.216,0.068934
1.218,0.0880815
1.22,0.0804225
1.222,0.068934
1.224,0.091911
1.226,0.0804225
1.228,0.068934
1.23,0.0804225
1.232,0.076593
1.234,0.068934
1.236,0.0804225
1.238,0.0880815
1.24,0.076593
1.242,0.0727635
1.244,0.084252
1.246,0.0804225
1.248,0.091911
1.25,0.0727635
1.252,0.0804225
1.254,0.0880815
1.256,0.076593
1.258,0.068934
1.26,0.076593
1.262,0.0880815
1.264,0.068934
1.266,0.076593
1.268,0.0804225
1.27,0.0804225
1.272,0.0727635
1.274,0.0804225
1.276,0.084252
1.278,0.068934
1.28,0.0804225
1.282,0.0804225
1.284,0.068934
1.286,0.076593
1.288,0.0880815
1.29,0.0804225
1.292,0.076593
1.294,0.0880815
1.296,0.0804225
1.298,0.0804225
1.3,0.076593
1.302,0.076593
1.304,0.0727635
1.306,0.076593
1.308,0.076593
1.31,0.0651045
1.312,0.084252
1.314,0.076593
1.316,0.0651045
1.318,0.0804225
1.32,0.0727635
1.322,0.0651045
1.324,0.0804225
1.326,0.0727635
1.328,0.0574455
1.33,0.068934
1.332,0.0651045
1.334,0.0574455
1.336,0.076593
1.338,0.0651045
1.34,0.068934
1.342,0.076593
1.344,0.068934
1.346,0.0574455
1.348,0.076593
1.35,0.068934
1.352,0.068934
1.354,0.0804225
1.356,0.068934
1.358,0.068934
1.36,0.0804225
1.362,0.068934
1.364,0.061275
1.366,0.068934
1.368,0.084252
1.37,0.076593
1.372,0.076593
1.374,0.091911
1.376,0.0880815
1.378,0.0651045
1.38,0.0727635
1.382,0.068934
1.384,0.0651045
1.386,0.076593
1.388,0.0574455
1.39,0.061275
1.392,0.0651045
1.394,0.0651045
1.396,0.0536145
1.398,0.0727635
1.4,0.061275
1.402,0.0536145
1.404,0.0727635
1.406,0.061275
1.408,0.061275
1.41,0.0727635
1.412,0.061275
1.414,0.049785
1.416,0.061275
1.418,0.068934
1.42,0.0574455
1.422,0.061275
1.424,0.068934
1.426,0.061275
1.428,0.061275
1.43,0.061275
1.432,0.0727635
1.434,0.0574455
1.436,0.068934
1.438,0.0804225
1.44,0.068934
1.442,0.0574455
1.444,0.076593
1.446,0.0651045
1.448,0.061275
1.45,0.0727635
1.452,0.061275
1.454,0.049785
1.456,0.061275
1.458,0.061275
1.46,0.0536145
1.462,0.049785
1.464,0.0574455
1.466,0.0574455
1.468,0.049785
