"time","HEOG"
1.398,0.048509
1.4,0.04085
1.402,0.035743
1.404,0.048509
1.406,0.04085
1.408,0.04085
1.41,0.048509
1.412,0.04085
1.414,0.03319
1.416,0.04085
1.418,0.045956
1.42,0.038297
1.422,0.04085
1.424,0.045956
1.426,0.04085
1.428,0.04085
1.43,0.04085
1.432,0.048509
1.434,0.038297
1.436,0.045956
1.438,0.053615
1.44,0.045956
1.442,0.038297
1.444,0.051062
1.446,0.043403
1.448,0.04085
1.45,0.048509
1.452,0.04085
1.454,0.03319
1.456,0.04085
1.458,0.04085
1.46,0.035743
1.462,0.03319
1.464,0.038297
1.466,0.038297
1.468,0.03319
1.47,0.03319
1.472,0.045956
1.474,0.038297
1.476,0.038297
1.478,0.03319
1.48,0.045956
1.482,0.038297
1.484,0.038297
1.486,0.04085
1.488,0.04085
1.49,0.043403
1.492,0.038297
1.494,0.045956
1.496,0.053615
1.498,0.045956
1.5,0.048509
1.502,0
1.504,-0.005106
1.506,-0.005106
1.508,-0.005106
1.51,-0.010212
1.512,-0.007659
1.514,-0.010212
1.516,-0.002553
1.518,-0.005106
1.52,0.002553
1.522,0
1.524,-0.007659
1.526,0
1.528,-0.012765
1.53,-0.012765
1.532,-0.015319
1.534,-0.020425
1.536,-0.015319
1.538,-0.017872
1.54,-0.012765
1.542,-0.017872
1.544,-0.020425
1.546,-0.017872
1.548,-0.022978
1.55,-0.020425
1.552,-0.012765
1.554,-0.020425
1.556,-0.012765
1.558,-0.015319
1.56,-0.015319
1.562,-0.015319
1.564,-0.020425
1.566,-0.020425
1.568,-0.010212
1.57,-0.005106
1.572,-0.005106
1.574,-0.005106
1.576,-0.012765
1.578,-0.017872
1.58,-0.012765
1.582,-0.012765
1.584,-0.007659
1.586,-0.012765
1.588,-0.012765
1.59,-0.017872
1.592,-0.012765
1.594,-0.012765
1.596,-0.005106
1.598,-0.005106
1.6,-0.010212
1.602,-0.017872
1.604,-0.010212
1.606,-0.012765
1.608,-0.005106
1.61,-0.010212
1.612,-0.017872
1.614,-0.017872
1.616,-0.010212
1.618,-0.012765
1.62,-0.010212
1.622,-0.010212
1.624,-0.020425
1.626,-0.012765
1.628,-0.012765
1.63,-0.012765
1.632,-0.012765
1.634,-0.017872
1.636,-0.020425
1.638,-0.010212
1.64,-0.010212
1.642,-0.010212
1.644,-0.010212
1.646,-0.015319
1.648,-0.017872
1.65,-0.010212
1.652,-0.002553
1.654,-0.005106
1.656,-0.010212
1.658,-0.017872
1.66,-0.020425
1.662,-0.015319
1.664,-0.015319
1.666,-0.010212
1.668,-0.010212
1.67,-0.015319
1.672,-0.022978
1.674,-0.025531
1.676,-0.017872
1.678,-0.017872
1.68,-0.010212
1.682,-0.010212
1.684,-0.017872
1.686,-0.020425
1.688,-0.025531
1.69,-0.022978
1.692,-0.017872
1.694,-0.020425
1.696,-0.012765
1.698,-0.012765
1.7,-0.017872
1.702,-0.020425
